Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Status
minimalist-cross-tee,The Cross — Minimalist Tee,"<p>A single, understated cross — left-chest, tone-on-tone. Our flagship “quiet faith” piece on premium 4.2oz Airlume combed and ring-spun cotton. Made to order, designed to be worn every day. Galatians 2:20.</p>",MWFaith,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"Minimalist Faith, Christian, faith apparel, Bella+Canvas 3001, new",TRUE,Color,Black,Size,S,MINIMALISTCROSST-BLA-S,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Black,Size,M,MINIMALISTCROSST-BLA-M,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Black,Size,L,MINIMALISTCROSST-BLA-L,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Black,Size,XL,MINIMALISTCROSST-BLA-XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Black,Size,2XL,MINIMALISTCROSST-BLA-2XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Vintage White,Size,S,MINIMALISTCROSST-VIN-S,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Vintage White,Size,M,MINIMALISTCROSST-VIN-M,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Vintage White,Size,L,MINIMALISTCROSST-VIN-L,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Vintage White,Size,XL,MINIMALISTCROSST-VIN-XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Vintage White,Size,2XL,MINIMALISTCROSST-VIN-2XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Sand,Size,S,MINIMALISTCROSST-SAN-S,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Sand,Size,M,MINIMALISTCROSST-SAN-M,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Sand,Size,L,MINIMALISTCROSST-SAN-L,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Sand,Size,XL,MINIMALISTCROSST-SAN-XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
minimalist-cross-tee,,,,,,,,Color,Sand,Size,2XL,MINIMALISTCROSST-SAN-2XL,shopify,deny,manual,42.00,,TRUE,TRUE,lb,active
